Designator,Mid X,Mid Y,Rotation,Layer
C1,80.311681,-97.525104,90.0,top
C2,75.283871,-97.610714,90.0,top
C3,73.965418,-92.153775,90.0,top
C4,74.03243,-86.975,270.0,top
C5,74.11439,-81.986302,270.0,top
D1,89.123458,-82.15451,270.0,top
D2,91.676448,-60.474788,90.0,top
D3,86.871899,-60.474788,90.0,top
J1,67.561409,-99.379487,0.0,bottom
J2,96.114,-105.371567,0.0,top
J3,92.541202,-105.364094,0.0,top
J4,85.1308,-105.4154,270.0,bottom
J5,76.4594,-106.6796,90.0,top
Q1,76.7588,-102.256,0.0,top
R1,77.496032,-87.127156,270.0,top
R2,81.205194,-87.146284,270.0,top
R3,85.674358,-87.127726,270.0,top
R4,89.399106,-87.153314,90.0,top
R5,93.110995,-87.133426,270.0,top
R6,85.58537,-71.302604,270.0,top
R7,89.346916,-71.283919,270.0,top
R8,93.086167,-71.317362,270.0,top
SW1,78.0022,-67.782,180.0,top
SW2,78.0046,-75.2962,180.0,top
U1,83.82,-63.5,0.0,bottom
